,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
12772,44,services,married,secondary,no,182,yes,yes,cellular,7,jul,209,4,-1,0,unknown,no
19023,56,blue-collar,married,secondary,no,276,no,no,cellular,5,aug,269,1,-1,0,unknown,no
5739,42,blue-collar,single,primary,no,-68,yes,yes,unknown,26,may,167,1,-1,0,unknown,no
22987,30,management,single,tertiary,no,15,no,yes,cellular,26,aug,252,2,-1,0,unknown,no
11082,44,blue-collar,married,primary,no,0,no,no,unknown,18,jun,192,5,-1,0,unknown,no
16232,57,technician,married,secondary,no,1741,no,no,cellular,23,jul,364,2,-1,0,unknown,no
984,51,blue-collar,married,primary,no,1466,yes,no,unknown,7,may,406,2,-1,0,unknown,no
44968,27,student,single,tertiary,no,838,no,no,cellular,11,oct,162,1,-1,0,unknown,no
24775,48,management,married,tertiary,no,1741,yes,yes,telephone,18,nov,40,1,-1,0,unknown,no
23507,40,technician,married,secondary,no,170,no,no,cellular,28,aug,12,24,-1,0,unknown,no
1987,36,blue-collar,married,unknown,no,714,no,no,unknown,9,may,277,3,-1,0,unknown,no
27196,52,self-employed,married,secondary,no,-332,yes,no,telephone,21,nov,70,1,-1,0,unknown,no
12716,49,technician,married,primary,no,486,no,no,telephone,7,jul,229,5,-1,0,unknown,no
19334,47,technician,married,secondary,no,3973,no,no,cellular,6,aug,732,2,-1,0,unknown,no
12520,45,technician,divorced,unknown,yes,-25,no,yes,unknown,3,jul,158,3,-1,0,unknown,no
24201,49,blue-collar,divorced,primary,no,514,no,no,cellular,17,nov,221,1,-1,0,unknown,no
32424,54,technician,married,secondary,no,3994,no,yes,cellular,16,apr,299,2,-1,0,unknown,yes
33809,31,technician,single,tertiary,no,1081,no,no,cellular,24,apr,202,5,261,2,failure,yes
21093,59,retired,married,primary,no,46,no,no,cellular,14,aug,78,2,-1,0,unknown,no
22313,33,technician,divorced,secondary,yes,6,no,no,cellular,22,aug,239,2,-1,0,unknown,no
38447,30,services,single,tertiary,no,717,yes,yes,cellular,15,may,116,1,-1,0,unknown,no
36741,38,blue-collar,married,secondary,no,-367,yes,yes,cellular,12,may,354,1,-1,0,unknown,no
40157,35,housemaid,single,primary,no,745,no,no,telephone,5,jun,522,3,-1,0,unknown,yes
15625,37,admin.,single,secondary,no,862,no,no,cellular,21,jul,152,2,-1,0,unknown,no
13333,41,blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,554,3,-1,0,unknown,no
24082,26,services,single,secondary,no,1445,no,no,telephone,23,oct,171,1,-1,0,unknown,yes
14415,57,retired,divorced,secondary,no,24,no,yes,cellular,14,jul,407,2,-1,0,unknown,no
25683,32,blue-collar,married,primary,no,66,no,no,cellular,19,nov,244,1,-1,0,unknown,no
2336,34,services,single,secondary,no,23,no,no,unknown,13,may,109,1,-1,0,unknown,no
3159,43,technician,single,secondary,no,0,yes,no,unknown,14,may,37,3,-1,0,unknown,no
9027,37,blue-collar,married,secondary,no,-97,yes,no,unknown,5,jun,135,2,-1,0,unknown,no
30563,34,management,single,tertiary,no,0,no,no,cellular,5,feb,427,3,-1,0,unknown,no
43756,37,management,married,tertiary,no,3236,no,no,cellular,20,may,291,2,202,5,other,yes
15922,35,technician,married,secondary,no,561,yes,no,cellular,22,jul,95,1,-1,0,unknown,no
26688,30,services,single,secondary,no,370,no,no,cellular,20,nov,142,1,-1,0,unknown,no
15152,43,blue-collar,married,primary,no,255,yes,no,cellular,17,jul,180,1,-1,0,unknown,no
14529,42,blue-collar,married,secondary,no,-145,yes,no,cellular,15,jul,231,3,-1,0,unknown,no
20451,46,unemployed,married,secondary,no,3533,yes,no,cellular,12,aug,235,2,-1,0,unknown,no
29185,34,technician,married,tertiary,no,-624,no,no,telephone,2,feb,20,8,-1,0,unknown,no
23187,35,technician,married,secondary,no,0,no,no,cellular,27,aug,106,4,-1,0,unknown,no
42637,22,student,single,secondary,no,254,no,no,cellular,13,jan,143,2,-1,0,unknown,yes
22097,32,self-employed,married,secondary,yes,9,no,no,cellular,21,aug,331,2,-1,0,unknown,no
37243,55,entrepreneur,married,tertiary,no,323,yes,yes,cellular,13,may,200,1,-1,0,unknown,no
22959,56,housemaid,married,primary,no,0,no,no,cellular,26,aug,102,2,-1,0,unknown,no
28911,43,admin.,married,secondary,no,764,yes,no,cellular,2,feb,118,1,-1,0,unknown,no
27822,58,technician,married,secondary,no,178,no,no,cellular,28,jan,109,1,-1,0,unknown,no
2803,46,technician,married,secondary,no,1029,yes,no,unknown,14,may,142,1,-1,0,unknown,no
18686,37,admin.,married,secondary,no,-426,yes,yes,cellular,31,jul,56,30,-1,0,unknown,no
33724,37,management,married,tertiary,no,4174,no,no,cellular,22,apr,183,5,-1,0,unknown,no
14803,37,technician,divorced,secondary,no,0,yes,no,cellular,16,jul,46,1,-1,0,unknown,no
12439,57,retired,married,secondary,no,0,no,yes,unknown,30,jun,104,2,-1,0,unknown,no
29475,31,services,married,primary,no,997,yes,no,cellular,3,feb,256,1,190,3,failure,no
39470,35,management,single,tertiary,no,2486,yes,no,cellular,25,may,265,1,-1,0,unknown,no
41155,56,housemaid,divorced,secondary,no,256,no,no,cellular,19,aug,220,5,117,2,other,no
39701,24,blue-collar,single,unknown,no,192,no,no,cellular,27,may,424,1,-1,0,unknown,no
36063,32,management,married,tertiary,no,859,yes,yes,cellular,11,may,195,5,172,11,other,no
4392,37,management,married,tertiary,no,897,no,no,unknown,20,may,182,1,-1,0,unknown,no
16980,37,management,married,tertiary,no,287,yes,no,cellular,25,jul,94,2,-1,0,unknown,no
16785,37,admin.,married,secondary,no,3226,yes,yes,cellular,24,jul,226,3,-1,0,unknown,no
17842,39,management,married,tertiary,no,-409,yes,no,cellular,29,jul,590,23,-1,0,unknown,no
29900,42,unemployed,married,primary,no,75,yes,no,cellular,4,feb,120,1,-1,0,unknown,no
40505,36,management,single,tertiary,no,4,yes,no,cellular,7,jul,529,1,61,3,success,no
36682,25,technician,married,tertiary,no,914,yes,no,cellular,12,may,185,2,-1,0,unknown,no
10475,45,services,married,primary,no,7811,no,no,unknown,16,jun,143,2,-1,0,unknown,no
21400,36,technician,single,tertiary,no,53,no,yes,cellular,18,aug,64,7,-1,0,unknown,no
6752,44,entrepreneur,married,secondary,no,-20,no,no,unknown,28,may,167,3,-1,0,unknown,no
39116,30,blue-collar,married,primary,no,-5,yes,no,cellular,18,may,518,2,-1,0,unknown,no
27160,51,management,married,tertiary,no,19313,no,no,telephone,21,nov,36,1,-1,0,unknown,no
22022,37,technician,married,tertiary,no,247,no,no,cellular,20,aug,625,6,-1,0,unknown,yes
44872,30,technician,single,secondary,no,1532,no,no,cellular,23,sep,447,1,489,6,failure,no
14289,40,self-employed,married,secondary,no,1749,no,no,cellular,14,jul,767,12,-1,0,unknown,no
22299,59,housemaid,married,secondary,no,454,no,no,cellular,21,aug,162,1,-1,0,unknown,no
35871,45,admin.,married,unknown,no,-299,yes,no,cellular,8,may,154,2,350,1,failure,no
6309,40,blue-collar,married,primary,yes,-56,yes,no,unknown,27,may,316,1,-1,0,unknown,no
15858,34,services,single,secondary,no,-30,no,no,cellular,21,jul,1360,3,-1,0,unknown,yes
21288,44,self-employed,married,tertiary,no,8402,yes,no,cellular,18,aug,515,5,-1,0,unknown,no
41412,51,management,married,tertiary,no,994,no,no,cellular,3,sep,268,1,98,3,failure,no
8052,33,blue-collar,single,secondary,no,231,yes,no,unknown,2,jun,466,1,-1,0,unknown,no
9060,42,services,married,secondary,no,1007,no,no,unknown,5,jun,139,1,-1,0,unknown,no
36837,36,blue-collar,married,secondary,no,4986,yes,no,cellular,12,may,139,2,-1,0,unknown,no
40362,30,technician,married,secondary,no,2326,no,no,cellular,22,jun,67,1,108,1,success,no
23179,50,self-employed,married,tertiary,no,1503,no,no,cellular,27,aug,128,12,-1,0,unknown,no
24248,53,technician,married,secondary,no,65,no,no,cellular,17,nov,178,1,-1,0,unknown,no
19491,39,technician,married,tertiary,no,4765,yes,no,cellular,7,aug,108,2,-1,0,unknown,no
19397,30,technician,single,tertiary,no,1081,no,no,cellular,6,aug,377,2,-1,0,unknown,no
16025,53,management,married,secondary,no,0,yes,yes,cellular,22,jul,59,1,-1,0,unknown,no
21413,45,technician,married,secondary,no,-374,no,yes,cellular,18,aug,149,5,-1,0,unknown,no
24052,45,admin.,divorced,secondary,no,1293,yes,yes,telephone,20,oct,164,1,-1,0,unknown,no
19290,45,blue-collar,married,secondary,no,333,no,yes,cellular,6,aug,166,2,-1,0,unknown,no
40379,58,admin.,married,secondary,no,4348,yes,no,cellular,23,jun,790,4,141,1,other,yes
38541,40,blue-collar,married,secondary,no,1145,yes,no,cellular,15,may,175,4,-1,0,unknown,no
39457,35,technician,single,secondary,no,204,yes,no,cellular,25,may,236,1,-1,0,unknown,yes
243,43,technician,married,secondary,no,434,yes,no,unknown,5,may,117,1,-1,0,unknown,no
37355,51,unemployed,married,secondary,no,-13,yes,no,cellular,13,may,361,1,364,1,failure,no
21494,49,technician,married,secondary,no,2,no,no,cellular,19,aug,177,8,-1,0,unknown,no
27368,43,management,single,tertiary,no,146,no,no,cellular,21,nov,50,1,113,5,other,no
10272,38,blue-collar,married,secondary,no,2342,no,no,unknown,12,jun,136,2,-1,0,unknown,no
43188,47,technician,married,primary,no,235,no,no,cellular,2,mar,136,2,203,1,other,yes
7098,41,management,married,tertiary,no,615,yes,no,unknown,29,may,37,1,-1,0,unknown,no
24714,50,technician,married,secondary,no,0,yes,no,cellular,17,nov,114,4,168,2,failure,no
6164,46,management,married,primary,no,-268,yes,no,unknown,27,may,99,1,-1,0,unknown,no
39545,30,technician,single,tertiary,no,411,no,no,cellular,26,may,111,1,35,1,failure,no
13176,26,management,single,tertiary,no,8303,no,no,cellular,8,jul,143,2,-1,0,unknown,no
7290,38,admin.,married,secondary,no,-762,no,no,unknown,29,may,165,1,-1,0,unknown,no
43423,80,retired,married,secondary,no,8304,no,no,telephone,6,apr,681,1,118,11,success,no
39171,23,student,single,secondary,no,234,yes,no,cellular,18,may,33,5,354,7,other,no
27617,36,admin.,single,secondary,no,0,yes,no,cellular,21,nov,139,2,-1,0,unknown,no
18238,39,technician,single,secondary,no,391,no,yes,cellular,30,jul,962,4,-1,0,unknown,yes
33671,26,student,single,tertiary,no,5169,yes,no,cellular,20,apr,639,2,-1,0,unknown,no
7758,27,services,single,tertiary,no,3021,yes,no,unknown,30,may,388,7,-1,0,unknown,no
44607,34,entrepreneur,married,secondary,no,4659,yes,no,unknown,30,aug,28,1,-1,0,unknown,no
19161,54,technician,single,secondary,no,224,no,no,cellular,5,aug,134,2,-1,0,unknown,no
24687,53,management,divorced,tertiary,no,627,yes,no,cellular,17,nov,102,3,-1,0,unknown,no
27781,29,admin.,single,tertiary,no,8,no,no,cellular,28,jan,468,1,-1,0,unknown,no
34069,36,technician,single,tertiary,no,197,no,no,cellular,30,apr,260,1,-1,0,unknown,yes
44168,24,student,single,primary,no,1235,no,no,cellular,14,jul,334,4,93,6,other,yes
20255,45,technician,married,tertiary,no,548,no,no,cellular,11,aug,108,4,-1,0,unknown,no
5668,59,retired,married,secondary,no,0,no,yes,unknown,26,may,155,1,-1,0,unknown,no
2587,52,technician,divorced,secondary,no,1161,yes,no,unknown,13,may,271,1,-1,0,unknown,no
26026,42,management,divorced,tertiary,no,16,no,no,cellular,19,nov,140,3,-1,0,unknown,no
9750,58,housemaid,married,primary,no,258,no,no,unknown,9,jun,174,1,-1,0,unknown,no
42727,92,retired,married,unknown,no,775,no,no,cellular,26,jan,164,4,96,3,success,yes
25452,31,technician,divorced,tertiary,yes,1200,no,no,cellular,19,nov,62,1,-1,0,unknown,no
24335,52,services,married,tertiary,no,3094,yes,no,cellular,17,nov,96,1,-1,0,unknown,no
24620,47,management,married,secondary,no,794,yes,yes,cellular,17,nov,564,2,-1,0,unknown,no
7318,53,management,divorced,tertiary,no,195,yes,no,unknown,29,may,217,1,-1,0,unknown,no
10163,38,blue-collar,married,primary,no,8637,yes,no,unknown,11,jun,119,1,-1,0,unknown,no
31743,41,management,married,tertiary,no,5,yes,no,cellular,7,apr,542,3,140,3,failure,no
9719,53,retired,divorced,primary,no,2997,no,no,unknown,9,jun,162,1,-1,0,unknown,no
13790,36,admin.,single,secondary,no,9002,yes,yes,cellular,10,jul,793,1,-1,0,unknown,no
4562,33,services,married,unknown,no,89,yes,no,unknown,20,may,341,1,-1,0,unknown,no
1926,41,services,married,secondary,no,510,yes,no,unknown,9,may,231,2,-1,0,unknown,no
25518,57,retired,single,primary,no,604,no,no,cellular,19,nov,187,1,-1,0,unknown,no
12342,25,admin.,single,secondary,no,681,yes,no,unknown,26,jun,105,3,-1,0,unknown,no
9914,36,blue-collar,married,secondary,no,561,yes,no,unknown,9,jun,198,2,-1,0,unknown,no
26790,35,services,married,secondary,no,142,yes,no,cellular,20,nov,315,2,196,4,failure,no
29248,39,management,married,unknown,no,1253,no,no,cellular,2,feb,337,1,-1,0,unknown,no
33135,47,management,married,primary,no,1122,yes,no,cellular,20,apr,222,5,-1,0,unknown,no
30940,35,blue-collar,single,secondary,no,0,yes,no,cellular,9,feb,226,3,280,1,other,no
19392,45,self-employed,married,secondary,no,140,yes,no,cellular,6,aug,192,3,-1,0,unknown,no
20808,32,technician,single,secondary,no,493,no,no,cellular,13,aug,289,2,-1,0,unknown,no
23092,37,management,married,tertiary,no,725,no,no,cellular,26,aug,162,13,-1,0,unknown,no
21420,38,technician,divorced,secondary,no,1221,yes,yes,cellular,18,aug,73,7,-1,0,unknown,no
33805,58,blue-collar,married,secondary,no,3027,yes,no,cellular,24,apr,160,1,-1,0,unknown,yes
2142,25,admin.,single,tertiary,no,40,no,no,unknown,12,may,64,1,-1,0,unknown,no
27801,48,technician,married,secondary,no,0,yes,no,cellular,28,jan,123,1,204,1,failure,no
19664,59,management,divorced,tertiary,no,1002,no,no,cellular,7,aug,201,2,-1,0,unknown,no
33834,24,self-employed,single,tertiary,no,2376,no,no,cellular,27,apr,122,1,-1,0,unknown,yes
27854,53,technician,married,secondary,no,529,yes,no,cellular,28,jan,558,1,-1,0,unknown,no
34788,31,services,single,secondary,no,864,yes,no,cellular,6,may,100,1,-1,0,unknown,no
10725,39,housemaid,married,tertiary,no,240,yes,no,unknown,16,jun,17,25,-1,0,unknown,no
31432,19,student,single,primary,no,134,no,no,cellular,27,mar,271,2,-1,0,unknown,yes
30344,60,unemployed,single,tertiary,no,361,no,no,cellular,5,feb,1837,1,-1,0,unknown,no
22214,32,housemaid,married,secondary,no,0,no,no,cellular,21,aug,435,2,-1,0,unknown,no
25015,39,housemaid,married,primary,no,694,yes,yes,cellular,18,nov,91,1,168,2,other,no
35537,50,management,married,tertiary,no,1174,yes,no,cellular,7,may,128,2,-1,0,unknown,no
35178,24,blue-collar,married,primary,no,-247,yes,no,cellular,7,may,203,1,-1,0,unknown,no
9881,37,entrepreneur,married,unknown,no,1134,yes,no,unknown,9,jun,142,3,-1,0,unknown,no
32785,35,admin.,married,secondary,no,437,yes,no,cellular,17,apr,123,1,-1,0,unknown,no
17707,53,admin.,married,secondary,no,1815,no,no,cellular,29,jul,86,6,-1,0,unknown,no
3024,32,technician,single,unknown,no,10600,no,no,unknown,14,may,485,2,-1,0,unknown,no
20718,51,blue-collar,married,primary,no,1694,no,no,cellular,13,aug,186,2,-1,0,unknown,no
11475,46,blue-collar,divorced,primary,no,1712,no,no,unknown,19,jun,110,1,-1,0,unknown,no
6844,44,management,married,tertiary,no,0,yes,no,unknown,28,may,260,1,-1,0,unknown,no
39165,57,services,divorced,primary,no,2225,yes,no,cellular,18,may,8,4,-1,0,unknown,no
7725,45,services,married,secondary,no,475,yes,no,unknown,30,may,230,2,-1,0,unknown,no
10805,41,management,married,tertiary,no,1234,no,no,unknown,17,jun,68,1,-1,0,unknown,no
11423,59,retired,married,primary,no,143,yes,no,unknown,19,jun,11,1,-1,0,unknown,no
27753,43,entrepreneur,single,unknown,no,323,no,no,cellular,28,jan,159,1,226,1,success,no
31382,37,admin.,single,secondary,no,127,no,no,cellular,23,mar,83,4,-1,0,unknown,no
9054,51,services,married,secondary,no,540,yes,no,unknown,5,jun,124,2,-1,0,unknown,no
38810,37,admin.,single,secondary,no,31,yes,no,cellular,18,may,15,9,-1,0,unknown,no
25054,35,management,divorced,tertiary,no,2287,no,no,cellular,18,nov,130,3,-1,0,unknown,no
8511,31,admin.,single,primary,no,-263,yes,no,unknown,3,jun,208,1,-1,0,unknown,no
34341,30,management,married,tertiary,no,10884,no,no,cellular,4,may,333,2,-1,0,unknown,yes
38370,38,technician,single,secondary,no,553,yes,no,cellular,15,may,178,2,270,8,other,no
7747,45,blue-collar,married,primary,no,676,yes,no,unknown,30,may,156,4,-1,0,unknown,no
4028,35,admin.,single,secondary,no,368,yes,no,unknown,16,may,218,3,-1,0,unknown,no
10172,58,technician,married,primary,no,139,no,no,unknown,11,jun,103,1,-1,0,unknown,no
19908,32,management,single,tertiary,no,28,no,no,cellular,8,aug,111,2,-1,0,unknown,no
42484,40,management,single,tertiary,no,3797,no,no,cellular,14,dec,263,1,195,2,failure,no
13648,35,blue-collar,divorced,primary,no,13,no,yes,cellular,9,jul,364,1,-1,0,unknown,no
34404,34,unemployed,married,secondary,no,156,yes,no,cellular,5,may,136,5,-1,0,unknown,no
5415,55,technician,married,tertiary,no,440,no,no,unknown,23,may,556,1,-1,0,unknown,no
7488,46,technician,married,secondary,no,2527,yes,yes,unknown,29,may,201,3,-1,0,unknown,no
28232,31,technician,single,tertiary,no,424,no,no,cellular,29,jan,106,1,161,2,failure,no
43377,42,technician,married,secondary,no,2152,no,no,cellular,30,mar,361,2,181,2,failure,no
26303,34,admin.,single,secondary,no,3626,yes,yes,cellular,20,nov,88,2,-1,0,unknown,no
10701,37,admin.,married,tertiary,no,2741,no,no,unknown,16,jun,204,4,-1,0,unknown,no
18283,27,technician,single,secondary,no,0,no,no,cellular,31,jul,13,3,-1,0,unknown,no
18137,43,technician,single,secondary,no,34,no,no,telephone,30,jul,29,1,-1,0,unknown,no
16755,49,technician,divorced,secondary,no,-39,yes,yes,cellular,24,jul,147,3,-1,0,unknown,no
11106,37,services,single,secondary,no,2657,yes,no,unknown,18,jun,295,1,-1,0,unknown,no
18097,40,admin.,divorced,secondary,no,4,no,no,cellular,30,jul,63,3,-1,0,unknown,no
38221,44,blue-collar,married,primary,no,362,yes,no,cellular,15,may,180,1,-1,0,unknown,no
7332,42,management,married,tertiary,no,8794,yes,no,unknown,29,may,166,3,-1,0,unknown,no
9829,45,retired,single,tertiary,no,212,no,no,unknown,9,jun,63,1,-1,0,unknown,no
15594,25,blue-collar,married,secondary,no,895,no,no,cellular,21,jul,317,3,-1,0,unknown,no
3967,40,blue-collar,married,secondary,no,1161,yes,yes,unknown,16,may,292,8,-1,0,unknown,no
41326,42,admin.,married,secondary,no,1535,yes,no,cellular,28,aug,121,1,108,2,failure,no
19470,45,blue-collar,married,secondary,no,2603,yes,yes,cellular,7,aug,235,2,-1,0,unknown,no
28557,26,services,single,secondary,no,335,no,no,telephone,29,jan,393,2,-1,0,unknown,no
41086,41,admin.,divorced,secondary,no,220,yes,no,cellular,14,aug,142,2,88,2,failure,no
10175,23,student,single,secondary,no,1284,yes,no,unknown,11,jun,327,10,-1,0,unknown,no
13497,25,student,married,tertiary,no,0,yes,no,cellular,9,jul,160,1,-1,0,unknown,no
34388,38,technician,single,tertiary,no,2443,no,no,cellular,4,may,9,8,-1,0,unknown,no
23229,31,technician,married,tertiary,no,313,yes,no,cellular,27,aug,114,2,-1,0,unknown,no
33557,41,blue-collar,married,primary,no,449,yes,no,cellular,20,apr,10,6,-1,0,unknown,no
4062,46,management,married,primary,no,357,yes,yes,unknown,19,may,221,2,-1,0,unknown,no
32883,34,entrepreneur,married,primary,no,165,yes,no,cellular,17,apr,182,2,329,1,failure,no
14287,51,blue-collar,married,primary,no,0,yes,no,telephone,14,jul,120,3,-1,0,unknown,no
24270,37,management,married,secondary,no,5447,yes,yes,cellular,17,nov,1789,1,-1,0,unknown,yes
25840,33,blue-collar,married,tertiary,no,6138,yes,no,cellular,19,nov,384,1,183,1,failure,no
28880,34,management,married,secondary,no,243,no,no,cellular,30,jan,417,4,-1,0,unknown,no
10352,40,housemaid,married,secondary,no,3944,yes,no,unknown,12,jun,64,6,-1,0,unknown,no
44585,61,blue-collar,married,secondary,no,681,yes,no,telephone,19,aug,173,6,492,2,failure,no
12838,34,blue-collar,married,secondary,no,205,yes,yes,cellular,7,jul,309,1,-1,0,unknown,no
1777,46,technician,single,secondary,yes,-1124,yes,yes,unknown,9,may,206,2,-1,0,unknown,no
38484,33,management,married,tertiary,no,287,yes,no,cellular,15,may,199,2,274,3,other,no
24068,45,admin.,married,secondary,no,5346,yes,yes,unknown,21,oct,187,1,-1,0,unknown,yes
36637,46,admin.,married,secondary,no,38,yes,yes,cellular,12,may,455,1,-1,0,unknown,no
29884,27,blue-collar,married,secondary,no,77,yes,no,cellular,4,feb,253,1,-1,0,unknown,no
44543,27,self-employed,single,tertiary,no,4574,no,no,cellular,12,aug,187,2,-1,0,unknown,no
39423,36,unemployed,single,tertiary,no,953,yes,no,cellular,22,may,169,1,94,2,other,no
5304,30,management,single,tertiary,no,1243,yes,no,unknown,23,may,135,1,-1,0,unknown,no
3795,30,blue-collar,single,unknown,no,194,yes,no,unknown,16,may,410,1,-1,0,unknown,no
16711,34,management,married,tertiary,no,889,yes,no,cellular,24,jul,539,1,-1,0,unknown,no
17960,55,services,divorced,secondary,no,1817,no,no,cellular,30,jul,404,4,-1,0,unknown,no
29938,51,unemployed,single,tertiary,no,1594,no,no,telephone,4,feb,197,1,-1,0,unknown,no
36650,43,blue-collar,married,primary,no,-404,yes,yes,cellular,12,may,205,2,306,1,failure,no
4513,37,management,single,unknown,no,715,yes,no,unknown,20,may,247,2,-1,0,unknown,no
39350,29,management,single,tertiary,no,722,yes,no,telephone,18,may,81,4,-1,0,unknown,no
8494,32,blue-collar,married,secondary,no,931,yes,no,unknown,3,jun,409,1,-1,0,unknown,no
24284,41,management,married,tertiary,no,1272,yes,no,cellular,17,nov,214,1,-1,0,unknown,no
3272,47,admin.,divorced,secondary,no,106,yes,no,unknown,15,may,303,1,-1,0,unknown,no
17358,30,student,single,tertiary,no,146,no,no,cellular,28,jul,310,2,-1,0,unknown,no
24226,55,retired,married,secondary,no,103,yes,yes,cellular,17,nov,57,1,-1,0,unknown,no
14033,32,self-employed,married,secondary,no,514,yes,no,cellular,11,jul,812,1,-1,0,unknown,yes
9927,57,unemployed,married,primary,no,7880,no,no,unknown,9,jun,318,2,-1,0,unknown,no
205,50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no
16015,37,services,married,secondary,no,0,yes,no,cellular,22,jul,272,1,-1,0,unknown,no
36289,52,services,married,secondary,no,540,yes,no,cellular,11,may,154,2,340,2,failure,no
3570,30,services,married,secondary,no,271,yes,no,unknown,15,may,365,1,-1,0,unknown,no
23271,40,entrepreneur,married,primary,no,324,yes,no,cellular,27,aug,205,6,-1,0,unknown,no
42548,25,student,single,unknown,no,10788,no,no,cellular,23,dec,102,2,210,2,other,no
40876,57,admin.,single,secondary,no,2223,no,no,cellular,12,aug,1064,1,-1,0,unknown,yes
39275,24,technician,single,secondary,no,-73,yes,no,cellular,18,may,7,2,-1,0,unknown,no
747,31,entrepreneur,married,tertiary,no,281,yes,no,unknown,6,may,206,2,-1,0,unknown,no
12302,42,technician,single,secondary,no,-15,no,no,unknown,25,jun,71,1,-1,0,unknown,no
41584,48,management,married,tertiary,no,2,no,no,cellular,15,sep,103,1,91,2,failure,no
36180,56,technician,married,secondary,no,150,yes,yes,cellular,11,may,102,6,349,1,failure,no
21686,60,retired,married,primary,no,420,no,no,cellular,19,aug,245,2,-1,0,unknown,no
41363,49,management,single,tertiary,no,5689,no,no,cellular,31,aug,470,1,97,3,failure,yes
42853,52,blue-collar,married,secondary,no,955,no,yes,cellular,3,feb,153,1,48,3,success,yes
40242,28,self-employed,single,secondary,no,1536,no,no,cellular,15,jun,294,3,-1,0,unknown,no
21141,47,blue-collar,married,primary,no,584,yes,yes,cellular,14,aug,337,2,-1,0,unknown,no
4788,34,management,married,tertiary,no,363,no,no,unknown,21,may,171,5,-1,0,unknown,no
33228,37,admin.,married,secondary,no,756,yes,no,cellular,20,apr,207,2,-1,0,unknown,no
16673,41,blue-collar,married,secondary,yes,720,no,yes,cellular,24,jul,651,1,-1,0,unknown,yes
12142,46,blue-collar,married,unknown,no,83,no,no,unknown,20,jun,38,5,-1,0,unknown,no
6195,34,admin.,married,secondary,no,256,no,no,unknown,27,may,388,2,-1,0,unknown,no
22220,58,retired,married,tertiary,no,0,no,no,cellular,21,aug,138,2,-1,0,unknown,no
34789,36,admin.,divorced,secondary,no,50,yes,no,cellular,6,may,222,1,-1,0,unknown,no
9095,42,unemployed,married,secondary,no,202,no,no,unknown,5,jun,257,1,-1,0,unknown,no
6937,30,student,single,tertiary,no,2030,yes,no,unknown,28,may,27,2,-1,0,unknown,no
37667,31,self-employed,single,tertiary,no,17924,yes,no,cellular,14,may,745,1,174,3,failure,yes
9534,45,blue-collar,divorced,secondary,no,0,no,no,unknown,6,jun,422,5,-1,0,unknown,no
22079,34,technician,single,secondary,no,0,no,no,cellular,21,aug,163,2,-1,0,unknown,no
40580,32,technician,married,secondary,no,449,no,no,cellular,23,jul,106,3,-1,0,unknown,no
1394,39,blue-collar,married,secondary,no,1042,yes,no,unknown,8,may,58,2,-1,0,unknown,no
7806,37,technician,married,secondary,no,-403,yes,no,unknown,30,may,31,6,-1,0,unknown,no
18884,51,housemaid,divorced,tertiary,no,1613,no,no,cellular,4,aug,870,1,-1,0,unknown,yes
29186,37,management,married,primary,no,1404,yes,no,cellular,2,feb,97,1,-1,0,unknown,no
4272,24,blue-collar,single,unknown,no,76,yes,no,unknown,19,may,345,1,-1,0,unknown,no
41982,81,retired,married,primary,no,243,no,no,cellular,27,oct,131,1,-1,0,unknown,yes
26052,55,entrepreneur,divorced,tertiary,no,372,yes,no,cellular,19,nov,225,5,-1,0,unknown,no
33744,33,admin.,married,tertiary,no,882,no,no,cellular,22,apr,104,1,183,4,failure,yes
9220,45,services,married,secondary,no,1550,yes,no,unknown,5,jun,127,6,-1,0,unknown,no
5982,58,blue-collar,married,secondary,no,343,yes,no,unknown,26,may,265,4,-1,0,unknown,no
5037,32,blue-collar,married,secondary,no,-325,yes,yes,unknown,21,may,171,1,-1,0,unknown,no
18040,41,management,single,unknown,no,335,no,no,cellular,30,jul,44,4,-1,0,unknown,no
31693,40,admin.,single,unknown,no,355,yes,no,cellular,7,apr,345,2,138,6,other,no
12976,27,blue-collar,married,secondary,no,102,no,yes,cellular,7,jul,159,2,-1,0,unknown,no
33971,28,student,single,secondary,no,20,no,no,telephone,30,apr,455,2,-1,0,unknown,no
33320,37,services,married,secondary,no,184,yes,no,cellular,20,apr,53,1,348,3,failure,no
28902,28,management,single,tertiary,no,2080,no,no,telephone,30,jan,399,2,2,1,other,no
1138,37,blue-collar,married,secondary,no,374,yes,no,unknown,7,may,944,3,-1,0,unknown,no
28761,45,management,married,tertiary,no,2363,no,no,cellular,30,jan,125,1,2,1,other,no
43104,29,student,single,secondary,no,67,no,no,cellular,23,feb,211,1,187,5,success,yes
7709,42,blue-collar,married,secondary,no,2441,yes,no,unknown,30,may,143,1,-1,0,unknown,no
36932,44,admin.,single,secondary,no,469,yes,yes,cellular,12,may,158,2,-1,0,unknown,no
13521,45,technician,married,secondary,no,1028,yes,no,cellular,9,jul,113,1,-1,0,unknown,no
23174,33,technician,single,secondary,no,151,yes,no,cellular,27,aug,86,6,-1,0,unknown,no
